track_name,track_id,artists,artists_ids,album_name,album_id,duration_ms,explicit,popularity,popularity_per_artist,followers_per_artist,album_popularity
Murderer,1yxQwMLJIn5oBTOLl38GLL,['Barrington Levy'],['5mMuiFhh7faS7qxnTLRA6u'],"Original Ragga Muffin, Pt. 1",2jLNKZ0HQJ4OJOprvVkDvV,233299,False,60,58,240090,0
Something Good,3xqxETvPg43KWP0HOGiOmu,['alt-J'],['3XHO7cRUPCLOr6jwp8vsx5'],An Awesome Wave,7HOzvP7Ta2lLueojdlJtdZ,217320,False,59,71,3163415,0
Here for You (feat. Ella Henderson),7vqUr6K2Js9Paq4kdNSOm6,"['Kygo', 'Ella Henderson']","['23fqKkggKUBHNkbKtXEls4', '7nDsS0l5ZAzMedVRKPP8F1']",Here for You (feat. Ella Henderson),6HnspnDTGO0iGliX6OuCTd,244510,False,63,77,4959695,56
(Your Love Keeps Lifting Me) Higher & Higher,5qyq1H5OPMlfuvZQ1wQNo7,['Jackie Wilson'],['4VnomLtKTm9Ahe1tZfmZju'],Six Pack - Jackie Wilson - EP,6XPjcjaFP6M0NK32y2hcS6,179120,False,73,58,419149,0
Human,1sTsuZTdANkiFd7T34H3nb,['The Killers'],['0C0XlULifJtAgn6ZNCW2eu'],Day & Age,39JESZeZjLUrjwQtCrRs6d,245373,False,77,76,6992335,0
Can't Get You out of My Head,7MoKXLQeI0Bh2QodCjDO4K,['Kylie Minogue'],['4RVnAU35WRWra6OZ3CbbMA'],Fever (Deluxe Edition),2QDWFfsBr3EngvBwPtxoIY,230640,False,50,70,1686705,43
To Ü (feat. AlunaGeorge),3UgSQu6WwrXfKKDq019IHE,"['Jack Ü', 'Skrillex', 'Diplo', 'Aluna', 'AlunaGeorge']","['1HxJeLhIuegM3KgvPn8sTa', '5he5w2lnU9x7JFhnwcekXX', '5fMUXHkw8R8eOP2RNVYEZX', '5ITI6SEoUZMIXXkzCfr4oE', '2VAnyOxzJuSAj7XIuEOT38']",Skrillex and Diplo present Jack Ü,6bfkwBrGYKJFk6Z4QVyjxd,237000,False,60,68,2461840,71
You,1tZbYHImeBPPvEN8aRzMva,['Gold Panda'],['6xS3zemJD9h94iueQvGqVk'],Lucky Shiner,1EYoTU6wVYppkw8CLpXoyJ,216373,False,43,41,189335,0
The Tears Of A Clown,73C1yErumNeDkjHBtmA5Tc,['Smokey Robinson & The Miracles'],['6TKOZZDd5uV5KnyC5G4MUt'],The Definitive Collection,3AGszO88qhYdEvhs6pjsHW,182040,False,38,57,1121810,48
Au Seve,7w0W6W9dz5lVH3M3IWgwIT,['Julio Bashmore'],['0WAZJYudbUpl0EOjvdrnRG'],Au Seve,4B7suN0MtI45BxJCDleJ8r,393387,False,50,36,69043,0
We Don't Stop,04coyVwlPNfsK0icWUd1Lf,['Kaskade'],['6TQj5BFPooTa08A7pk8AQ1'],We Don't Stop,7t6DOEoJghc3V1xUe1NQO5,255600,False,25,67,921924,17
The Hills,7fBv7CLKzipRk6EC6TWHOB,['The Weeknd'],['1Xyo4u8uXC1ZmMpatF05PJ'],The Hills,4FWe1I8h8wcsMtFO3FypV9,242253,True,88,95,65401524,0
"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",4QNpBfC0zvjKqPJcyqBy9W,"['Pitbull', 'Ne-Yo', 'AFROJACK', 'Nayer']","['0TnOYISbd1XYRBk9myaseg', '21E3waRsmPlU7jZsS13rcj', '4D75GcNG95ebPtNvoNVXhz', '1ruutHJcECI7cos2n5TqpO']",Planet Pit (Deluxe Version),4rG0MhkU6UojACJxkMHIXB,252306,False,84,75,5507266,81
Sensee Party,7FDRuCNyLts7hg1UiaPpUR,['Eek-A-Mouse'],['6xqlgBccdlxUh5DeJSx2ho'],Skidip,1bUtw2VOdUGTN0osdCgYuN,192106,False,47,50,237807,0
Never Find,0lrY5x74InbSUqH93mI1K3,['Jah Cure'],['1bSn5aMcE83TXLlLDU9rTy'],Don Corleon Presents - Changes Riddim,6SXfwsj0EgY6HvUdi0mY98,207908,False,57,53,403957,51
Resurrection - Axwell Recut Radio Version,2DAxxGq7ozovsvgmccwHmC,['Michael Calfan'],['4CuipEvwcoQggmCV8jpKF9'],Resurrection,7nlR4EOVCpBtWYMMm9Sh00,165965,False,48,55,155830,35
You're Gonna Love Again,214tNSr4epshNjQ6W2PTLg,['NERVO'],['4j5KBTO4tk7up54ZirNGvK'],You're Gonna Love Again,3IMy16Jvyw437BN88nE8IU,201306,False,51,54,754643,0
Mirror Maru,52Pp8J18LYkyWL9OXhRUZh,['Cashmere Cat'],['2LZDXcxJWgsJfKXZv9a5eG'],Mirror Maru EP,491uNHKV3kcoNlHsR10YPb,242133,False,48,54,321861,0
Devotion - Radio Edit,7mANylBgCNsVgwxTJmhfOQ,['Quintino'],['1V3VTM7VspiQjcmRhC010n'],Devotion,3eoVeoLyFPgB9PzixBeOpl,201093,False,37,61,625480,0
"Right Here, Right Now (feat. Kylie Minogue)",3hbkRucgqWDHW9w8Dts5Iq,"['Giorgio Moroder', 'Kylie Minogue']","['6jU2Tt13MmXYk0ZBv1KmfO', '4RVnAU35WRWra6OZ3CbbMA']","Right Here, Right Now (feat. Kylie Minogue)",1sWi7KwMAUKxue9Wd1ThqJ,210130,False,30,61,955586,23
My Girl,0Vpswx5knuuXW8HmNK1LrT,['The Temptations'],['3RwQ26hR2tJtA8F9p2n7jG'],An American Love Story,0P2UzaCywB5aWhIplMUryK,161693,False,57,67,2710658,52
Turn It Down - Radio Edit,583arfplQrJ1RUskPVaMGG,"['Kaskade', 'Rebecca & Fiona']","['6TQj5BFPooTa08A7pk8AQ1', '6rgEPiKjowlMKZC1DF6W75']",Turn It Down,4QzKAFajiphxRlDfeGVXYI,237639,False,31,54,524247,12
